카페명	분류	개설일	회원 수	게시글 수	게시판 구독 수	조회 건수
바이트레인	여행	2021-07-06	370240	550012	1232	6766
감성캠핑	여행	2020-01-05	625780	220000	5480	9580
스윙댄스	취미	2019-09-17	529588	549385	3090	5813
감성요리	요리	2021-02-05	158304	95000	955	1580
카이트	취미	2020-12-11	164056	410904	17817	6315
유랑	여행	2022-08-04	265265	147056	3930	6537
클라리넷	취미	2022-03-05	95085	45000	854	5870
요리쿡	요리	2020-12-12	807475	902103	55830	5491
삼프주식	주식	2020-03-20	908450	1085000	897811	108540
여행홀릭	여행	2019-04-15	405395	785678	34130	8739
염블주식	주식	2021-02-05	752500	535840	75648	28888
오늘요리	요리	2022-05-14	220186	268612	9654	7719
박병주식	주식	2022-01-01	621110	358700	65840	12870
우드워커	취미	2021-12-02	368271	755304	23037	6933
